trait,name,corrected,count
BACKGROUND,Solana,Solana,6001
FUR,Black,Charcoal,638
FUR,Blue,Cobalt,282
FUR,Brown,,765
FUR,Cheetah,Leopard,269
FUR,Cream,Alabaster,443
FUR,Dark Brown,,790
FUR,Death Bot,Annihilator Droid,120
FUR,Dmt,Dimitri,103
FUR,Gold,Gold,60
FUR,Golden Brown,Bronze ,497
FUR,Grey,Silver,287
FUR,Noise,Static,131
FUR,Pink,Rose,300
FUR,Red,Crimson,315
FUR,Robot,Droid,183
FUR,Tan,Beige,360
FUR,Trippy,Psychedelic,70
FUR,White,Ivory,226
FUR,Zombie,Undead,162
CLOTHES,Admirals Coat,,70
CLOTHES,Bandolier,,117
CLOTHES,Basc T Black,,133
CLOTHES,Basc T Red,,129
CLOTHES,Biker Vest,,133
CLOTHES,Black Coat,,70
CLOTHES,Black Holes T,,124
CLOTHES,Black T,,172
CLOTHES,Blue Dress,,48
CLOTHES,Bone Necklace,Bone Jewelry,89
CLOTHES,Bone Tee,,105
CLOTHES,Caveman Pelt,,58
CLOTHES,Cowboy Shirt,,46
CLOTHES,EMPTY,None,1223
CLOTHES,Guayabera,,109
CLOTHES,Hawaiian,,113
CLOTHES,Hip Hop,,55
CLOTHES,Kings Robe,,65
CLOTHES,Lab Coat,,55
CLOTHES,Leather Jacket,,102
CLOTHES,Leather Punk Jacket,,129
CLOTHES,Lumberjack Shirt,,106
CLOTHES,Navy Stripped T,,173
CLOTHES,Pimp Coat,,79
CLOTHES,Prison Jumpsuit,,125
CLOTHES,Prom Dress,,62
CLOTHES,Puffy Vest,,116
CLOTHES,Rainbow Suspender,,64
CLOTHES,Sailor Shirt,,192
CLOTHES,Service,,127
CLOTHES,Sleeveless Logo T,,128
CLOTHES,Sleeveless T,,184
CLOTHES,Smoking Jacket,,129
CLOTHES,Spacesuit,,59
CLOTHES,Stripped Tee,,252
CLOTHES,Stunt Jacket,,102
CLOTHES,Tanktop,,123
CLOTHES,Tie Dye,,102
CLOTHES,Toga,,119
CLOTHES,Tuxedo Tee,,117
CLOTHES,Tweed Suit,,49
CLOTHES,Vietnam Jacket,,122
CLOTHES,Wool Turtleneck,,133
CLOTHES,Work Vest,,193
EYES,3D,3D Glasses,320
EYES,Angry,Annoyed,282
EYES,Blindfold,Blindfold,152
EYES,Bloodshot,,482
EYES,Blue Beams,Beams,7
EYES,Bored,,1310
EYES,Closed,Closed,412
